Criativo,,"Último atualização: segunda-feira, 8 de dezembro",,,,,,,,,,,,,,,,,,,,,,,,,
Funil,"ADV+Creators, Remarketing, Creators, Geral, IA, Google, IFV",-,,,,,,,,,,,,,,,,,,,,,,,,,
Data Inicial,01/11/2025,Investimento,,,,,,,,,,,,,,,,,,,,,,,,,
Data final,08/12/2025, Descrescente,,,,,,,,,,,,,,,,,,,,,,,,,
Todos,AD ID,AD Name,Link,Data de Criação,Status,Investimento,CTR,CPM,Leads,CPL,MQL,% MQL,CPMQL,RA,% RA,CPRA,% RA MQL,RR,% RR,CPRR,Ganhos Aceleração,Ganhos Pontuais,CAC Aceleração,Lead Time Cliente Único,Clientes únicos,% RR > Cliente,CAC Único
Pausado,120237696152120450,TP896 - HOOK3BODY2CTA1V -  - 13.10,https://fb.me/23fMcDyRLmF8NtR,13/11/2025,Pausado,R$ 43,"0,60%",R$ 87,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,782371164648,01 - Forcell: gel de milhões,https://www.youtube.com/watch?v=fkdfh9H_vLY,04/11/2025,Pausado,R$ 39,-,-,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120237698153100450,TP909 - HOOK4BODY1minimal -  - 13.11,https://fb.me/1Qg6F2sIMvvrfTI,13/11/2025,Pausado,R$ 39,"1,01%",R$ 79,1,R$ 39,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
Pausado,782371164651,00 - Gel caseiro que virou negócio,https://www.youtube.com/watch?v=fkdfh9H_vLY,04/11/2025,Pausado,R$ 29,-,-,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120237699466630450,TP904 - hook3body2cta2V -  - 13.10,https://fb.me/1QSIGlXhMupWn6o,13/11/2025,Ativo,R$ 29,"0,28%",R$ 80,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,756366052723,Anúncio #1 Shibata,https://www.youtube.com/watch?v=35uY5p3CJu8,04/06/2025,Ativo,R$ 26,-,-,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,756366052723,Anúncio #1 Shibata,https://www.youtube.com/watch?v=8R39ORSchks,04/06/2025,Ativo,R$ 26,-,-,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,756366052723,Anúncio #1 Shibata,https://www.youtube.com/watch?v=vuF6lk643g0,04/06/2025,Ativo,R$ 26,-,-,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120237699466610450,TP903 - HOOK2BODY2CTA2V -  - 13.10,https://fb.me/2C2NpX3pWYI1T0x,13/11/2025,Pausado,R$ 25,"0,68%",R$ 86,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120235997280970450,TP820 - vertical hook 6 body 2 cta 1 -  - 20.10,https://fb.me/26LEcL7gAhqWiUh,20/10/2025,Pausado,R$ 22,"1,02%",R$ 113,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120235997281000450,TP829 - hook 6 body 2 cta 2 -  - 20.10,https://fb.me/22kdBBohU525ekE,20/10/2025,Ativo,R$ 16,"1,48%",R$ 116,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120237699466570450,TP901 - HOOK4BODY1CTA2 -  - 13.10,https://fb.me/1MmiQm4Amp31OIO,13/11/2025,Ativo,R$ 15,"0,00%",R$ 81,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120237700711170450,TP912 - HOOK3BODY2minimal -  - 13.11,https://fb.me/1YGkiG6WEYso5EE,13/11/2025,Pausado,R$ 11,"1,15%",R$ 65,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
